critic,fresh,imdb,link,publication,quote,review_date,rtid,title
Roger Ebert,fresh,0116985,http://www.rogerebert.com/reviews/manny-and-lo-1996,Chicago Sun-Times,"One of the pleasures of Manny & Lo is the way that it reveals its characters in sudden, unexpected, defining acts.",2000-01-01 00:00:00,16360,Manny & Lo
Rita Kempley,rotten,0116985,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/mannyandlo.htm,Washington Post,The story settles into a fairly routine feminist fable.,2000-01-01 00:00:00,16360,Manny & Lo
David Fear,rotten,0452694,http://www.timeout.com/film/reviews/87325/the_time_traveler-s_wife.html,Time Out,"That the actors can pull off such Oprah-friendly, sci-fi-inflected sap and keep straight faces is the most fantastic thing about this loopy love story.",2011-11-18 00:00:00,770680255,The Time Traveler's Wife
Kathleen Murphy,rotten,0452694,http://movies.msn.com/movies/movie-critic-reviews/the-time-traveler's-wife/,MSN Movies,"The movie moves fast, as though to distract you from these shortcomings and the nearly total absence of logic.",2009-08-21 00:00:00,770680255,The Time Traveler's Wife
Richard Roeper,rotten,0452694,http://www.richardroeper.com/reviews/id/114/,Richard Roeper.com,Buy the book.,2009-08-18 00:00:00,770680255,The Time Traveler's Wife
David Edelstein,fresh,0452694,http://nymag.com/movies/reviews/58313/index1.html,New York Magazine,"I'm over the moon about this movie, which smooths out the psychological dissonances in Audrey Niffenegger's fine novel but is still an emotional workout.",2009-08-17 00:00:00,770680255,The Time Traveler's Wife
Ben Lyons,rotten,0452694,http://bventertainment.go.com/tv/buenavista/atm/,At the Movies,"Some fans of the book might enjoy seeing these two soul mates brought to life on the big screen, but for everyone else the interpretation seems forced and at times inconsistent.",2009-08-17 00:00:00,770680255,The Time Traveler's Wife
Ben Mankiewicz,rotten,0452694,http://bventertainment.go.com/tv/buenavista/atm/,At the Movies,I thought really very little in the film worked.,2009-08-17 00:00:00,770680255,The Time Traveler's Wife
Dana Stevens,rotten,0452694,http://www.slate.com/id/2224418/,Slate,"Long spans of time pass between lines of dialogue, many of which seem to have been inexpertly translated from a foreign language so that they almost make sense but not quite.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Michael Phillips,rotten,0452694,http://featuresblogs.chicagotribune.com/talking_pictures/2009/08/the-time-travelers-wife2-stars.html,Chicago Tribune,"The emotions and crises feel pre-sanded, smooth to the point of blandness. The transitional disappearances are routine.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Joe Neumaier,rotten,0452694,http://www.nydailynews.com/entertainment/movies/2009/08/13/2009-08-13_the_time_travelers_wife_sorry_not_this_time_as_movies_dumbness_makes_audience_wa.html,New York Daily News,"It's hard to live in stolen moments, but trying to find a few enjoyable ones in The Time Traveler's Wife is nearly impossible.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Betsy Sharkey,rotten,0452694,"http://www.latimes.com/entertainment/news/la-et-time-traveler14-2009aug14,0,348543.story",Los Angeles Times,"Yet where there should be heat, a cold wind blows.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Kyle Smith,rotten,0452694,http://www.nypost.com/seven/08142009/entertainment/movies/time_bomb__184403.htm,New York Post,"A Twilight Zone premise written like a Mariah Carey song, The Time Traveler's Wife is destined for a warm welcome on an obscure cable network. The Spinster Movie Station? The Lonely Hearts Channel?",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Stephen Whitty,rotten,0452694,http://www.nj.com/entertainment/tv/index.ssf/2009/08/the_time_travelers_wife_movie.html,Newark Star-Ledger,"The whole thing feels arbitrary. Henry and Clare's love is bedeviled not by anything they've done or have any control over, so the drama fails to build.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Steven Rea,rotten,0452694,http://www.philly.com/philly/entertainment/movies/20090814_A_wild__woolly_idea_comes_unbuttoned.html,Philadelphia Inquirer,"A kooky, head-spinning romantic mess.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Peter Travers,rotten,0452694,http://www.rollingstone.com/movies/reviews/time-travelers-wife-20090813,Rolling Stone,"I'd watch the vibrant Rachel McAdams and Eric Bana in anything, but The Time Traveler's Wife is pushing it.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Rick Groen,rotten,0452694,http://www.theglobeandmail.com/news/arts/the-time-travelers-wife/article1250950/,Globe and Mail,"Romance is robbed of its gamble, stripped of its suspense, shorn of its mystery, and deprived of an ending that feels earned.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Stephanie Zacharek,rotten,0452694,http://www.salon.com/ent/movies/review/2009/08/14/time_travelers_wife/index.html,Salon.com,There's not much [McAdams] or Bana can do to rescue this dreary piece of romantic hooey.,2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Mick LaSalle,fresh,0452694,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2009/08/13/MVGV197NEG.DTL&type=movies,San Francisco Chronicle,"It takes, as its subjects, the sadness and grandeur of life and the mystery of time, and it offers a full experience to those who find its wavelength.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Moira MacDonald,rotten,0452694,http://seattletimes.nwsource.com/html/movies/2009657455_mr14time.html,Seattle Times,"Suspend your disbelief and you might find The Time Traveler's Wife a charming if mildly depressing fantasy. Or you might, as I did, travel elsewhere during it. Either way, at least it's a picturesque journey.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Adam Graham,rotten,0452694,http://www.detnews.com/article/20090814/ENT02/908140328/1034/-Traveler-s-Wife--is-a-dull-journey,Detroit News,"The fact that Bana is a bit of a cold fish and real sparks never really ignite between he and McAdams, who is 10 years his junior, doesn't help matters.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Peter Rainer,rotten,0452694,http://www.csmonitor.com/2009/0814/p17s03-almo.html,Christian Science Monitor,"I'll let you in on a little secret that film critics have known for years. A major studio production, released in August with top-list stars, is almost certain to be a gobbler.",2009-08-14 00:00:00,770680255,The Time Traveler's Wife
Jack Kroll,fresh,0116745,http://www.thedailybeast.com/newsweek/1996/08/18/altman-and-all-that-jazz.html,Newsweek,"Altman loves to explode movie genres, and his script, co-written with Frank Barhydt, fuses the classic '30s screwball comedy and crime film.",2013-01-18 00:00:00,16146,Kansas City
Kevin Thomas,fresh,0116745,"http://www.calendarlive.com/movies/reviews/cl-movie961028-33,0,1093236.story",Los Angeles Times,"It could never for an instant be mistaken for anything but a Robert Altman film, and that counts for a lot.",2001-02-14 00:00:00,16146,Kansas City
James Berardinelli,rotten,0116745,http://www.reelviews.net/php_review_template.php?identifier=1941,ReelViews,"A sadly ordinary motion picture, and, in less sure hands, it might have been something of an unfortunate mess. Even with Altman at the helm, however, it manages to be singularly unremarkable.",2000-01-01 00:00:00,16146,Kansas City
Edward Guthmann,rotten,0116745,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/16/DD6437.DTL,San Francisco Chronicle,Would someone throw a net over Jennifer Jason Leigh? She's at it again.,2000-01-01 00:00:00,16146,Kansas City
Roger Ebert,fresh,0116745,http://www.rogerebert.com/reviews/kansas-city-1996,Chicago Sun-Times,"All of the characters act as if somebody might come along someday and make a movie about them. And Altman, who made the movie, gets his chance to sit in at last on one of those cutting sessions.",2000-01-01 00:00:00,16146,Kansas City
Stephen Holden,fresh,0116745,http://movies.nytimes.com/movie/review?res=9A05E7DE1031F935A2575BC0A960958260&partner=Rotten Tomatoes,New York Times,[It] has its own brawling vitality.,2000-01-01 00:00:00,16146,Kansas City
John Hartl,rotten,0119214,http://community.seattletimes.nwsource.com/archive/?date=19970531&slug=2541966,Seattle Times,This is one of the summer's sorrier excuses for a major-studio release.,2013-06-14 00:00:00,11557,Gone Fishin'
Paul Tatara,rotten,0119214,http://www.cnn.com/SHOWBIZ/9706/05/review.gone.fishin/,CNN.com,I don't even know where to start.,2013-06-14 00:00:00,11557,Gone Fishin'
John Petrakis,fresh,0119214,http://articles.chicagotribune.com/1997-06-02/features/9706020206_1_billy-catch-pooler-joe-waters-danny-glover,Chicago Tribune,It is testimony to the superior acting skills of Joe Pesci and Danny Glover that Gone Fishin' registers more than a blip on the summer movie radar screen.,2013-05-22 00:00:00,11557,Gone Fishin'
Lisa Schwarzbaum,rotten,0119214,"http://www.ew.com/ew/article/0,,288287,00.html",Entertainment Weekly,Big mistake.,2011-09-07 00:00:00,11557,Gone Fishin'
Daniel M. Kimmel,rotten,0119214,http://www.variety.com/review/VE1117341406.html?categoryid=31&cs=1,Variety,Film is so formulaic that virtually every plot point is telegraphed way in advance.,2005-04-27 00:00:00,11557,Gone Fishin'
Lawrence Van Gelder,rotten,0119214,http://movies.nytimes.com/movie/review?res=9C00E4DB113AF932A05756C0A961958260&partner=Rotten Tomatoes,New York Times,This is a film that misses the boat right from the start through an improper mixture of fools.,2003-05-20 00:00:00,11557,Gone Fishin'
Gene Seymour,rotten,0119214,http://articles.latimes.com/1997-06-02/entertainment/ca-64734_1_joe-pesci,Los Angeles Times,"A mirthless, graceless slapstick comedy with little to recommend it except some Florida scenery -- which, come to think of it, isn't all that scenic.",2001-02-14 00:00:00,11557,Gone Fishin'
James Berardinelli,rotten,0119214,http://www.reelviews.net/movies/g/gone.html,ReelViews,"The saddest thing about this unfunny, misguided motion picture is watching two performers I admire -- Joe Pesci and Danny Glover -- stumble their way through such obviously inferior material.",2000-01-01 00:00:00,11557,Gone Fishin'
Desson Thomson,rotten,0119214,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/gonefishin.htm,Washington Post,Cut bait and avoid this trip.,2000-01-01 00:00:00,11557,Gone Fishin'
Emanuel Levy,fresh,0116418,http://www.variety.com/review/VE1117910716.html?categoryid=31&cs=1,Variety,"As a male writer-director, McKay proves to be extremely sensitive to the feeling and words of working-class women (Lili Taylor among them), determined to establish their self-worth as well as to fight against the social ills of the oppressive system",2006-08-09 00:00:00,751377998,Girls Town
Desson Thomson,rotten,0116418,http://www.washingtonpost.com/wp-srv/style/longterm/review96/girlstownhowe.htm,Washington Post,"Taylor, Harris and Grace come up with some watchable, genuine moments. But they're often too involved in themselves; the movie indulges them too much.",2002-07-24 00:00:00,751377998,Girls Town
Joe Baltake,fresh,0116418,http://www.movieclub.com/reviews/archives/96girlstown/girlstown.html,Sacramento Bee,The film feels utterly real.,2000-01-01 00:00:00,751377998,Girls Town
Mick LaSalle,fresh,0116418,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/08/30/DD55687.DTL,San Francisco Chronicle,The performances and the film's plausible handling of an unusual movie subject make Girls Town special.,2000-01-01 00:00:00,751377998,Girls Town
James Berardinelli,fresh,0116418,http://www.reelviews.net/movies/g/girls_town.html,ReelViews,"Does an excellent job of uncovering the angst, pressure, and doubt associated with the late teenage years.",2000-01-01 00:00:00,751377998,Girls Town
Michael O'Sullivan,fresh,0116418,http://www.washingtonpost.com/wp-srv/style/longterm/review96/girlstownosull.htm,Washington Post,"Constructed without a traditional denouement, Girls Town will nevertheless satisfy viewers who want something that feels more like life than like art.",2000-01-01 00:00:00,751377998,Girls Town
Stephen Holden,fresh,0116418,http://movies.nytimes.com/movie/review?res=9E00EFDF1230F932A1575BC0A960958260&partner=Rotten Tomatoes,New York Times,A welcome little gust of teen-age realism.,2000-01-01 00:00:00,751377998,Girls Town
Roger Ebert,fresh,0116418,http://www.rogerebert.com/reviews/girls-town-1996,Chicago Sun-Times,"I would like to see another movie in three or four years, about what has happened to these angry, gifted friends.",2000-01-01 00:00:00,751377998,Girls Town
Emanuel Levy,rotten,0120004,http://www.variety.com/review/VE1117432788.html?categoryid=31&cs=1,Variety,"Though based on an original and respected novel, Hyams' horror thriller comes across as a pastiche of the genre's conventions as evident in major pictures of the past two decades, such as Jaws and the first two Alien films.",2006-12-23 00:00:00,13692,The Relic
Variety Staff,rotten,0101452,http://www.variety.com/review/VE1117789261.html?categoryid=31&cs=1,Variety,[The] filmmakers might have gotten more mileage if they'd rooted their adventure a bit more in reality.,2008-06-23 00:00:00,11035,Bill & Ted's Bogus Journey
,fresh,0101452,http://www.timeout.com/film/reviews/67823/bill_teds_bogus_journey.html,Time Out,"For those who appreciate dude-speak and bozo humor, this is a very funny film.",2006-02-09 00:00:00,11035,Bill & Ted's Bogus Journey
Roger Ebert,fresh,0101452,http://www.rogerebert.com/reviews/bill-and-teds-bogus-journey,Chicago Sun-Times,"A riot of visual invention and weird humor that works on its chosen sub-moronic level, and on several others as well...",2004-10-23 00:00:00,11035,Bill & Ted's Bogus Journey
Janet Maslin,fresh,0101452,http://movies.nytimes.com/movie/review?res=9D0CE5DF163FF93AA25754C0A967958260&partner=Rotten Tomatoes,New York Times,"It's hard not to appreciate two guys who can invest a cry of ""Whoa!"" with such pure ecstasy and who think that Joan of Arc is Noah's wife.",2003-05-20 00:00:00,11035,Bill & Ted's Bogus Journey
Desson Thomson,fresh,0101452,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/billtedsbogusjourneypghowe_a0b30f.htm,Washington Post,Funnier and livelier than the original.,2000-01-01 00:00:00,11035,Bill & Ted's Bogus Journey
Hal Hinson,fresh,0101452,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/billtedsbogusjourneypghinson_a0a6ca.htm,Washington Post,A masterpiece of stupid.,2000-01-01 00:00:00,11035,Bill & Ted's Bogus Journey
Bill Stamets,rotten,0245803,http://onfilm.chicagoreader.com/movies/capsules/23580_BULLETPROOF_MONK,Chicago Reader,"The fight scenes are routine, the humor juvenile, and the Toronto locales rendered drab through muddy cinematography.",2007-05-03 00:00:00,11258,Bulletproof Monk
,fresh,0245803,http://www.timeout.com/film/reviews/68595/bulletproof_monk.html,Time Out,"Chow was never a martial arts star back home, but he's a good enough actor -- and an engaging enough personality -- to pass for one here.",2006-06-24 00:00:00,11258,Bulletproof Monk
David Edelstein,rotten,0245803,http://www.slate.com/id/2081714/,Slate,"They made a ton of junky movies in Hong Kong, but those were dazzlingly fluid and high-flying junky movies. This American retread has the same sort of hack plot but none of the bravura.",2003-04-22 00:00:00,11258,Bulletproof Monk
Richard Roeper,rotten,0245803,http://apps.tvplex.go.com/ebertandthemovies/audioplayer.cgi?file=030421_bulletproof_monk,Ebert & Roeper,"[T]he thing about the martial arts sequences -- you've got the great Chow Yun-Fat, but this thing is directed MTV style: cut here, cut there, close-up. So we can't really tell if he's doing stunts or if it's all tricks of camerawork.",2003-04-21 00:00:00,11258,Bulletproof Monk
Stephen Whitty,rotten,0245803,http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-0/1050579480193090.xml,Newark Star-Ledger,Everything here is borrowed from other movies ...,2003-04-18 00:00:00,11258,Bulletproof Monk
Colin Covert,rotten,0245803,http://www.startribune.com/stories/1553/3830533.html,Minneapolis Star Tribune,Bulletproof Monk shoots blanks.,2003-04-18 00:00:00,11258,Bulletproof Monk
Hazel-Dawn Dumpert,rotten,0245803,http://www.laweekly.com/film/film_results.php?showid=2352,L.A. Weekly,"It's a testament to Chow's star power that, even with an accent more than casually reminiscent of Elmer Fudd's, he comes off charming, handsome and cool in a movie as ridiculous as Bulletproof Monk.",2003-04-17 00:00:00,11258,Bulletproof Monk
Stephen Hunter,rotten,0245803,http://www.washingtonpost.com/wp-dyn/content/article/2003/04/16/AR2005033116285.html,Washington Post,A movie chockablock with too many elements.,2003-04-16 00:00:00,11258,Bulletproof Monk
Mike Clark,rotten,0245803,http://www.usatoday.com/life/movies/reviews/2003-04-15-bulletproof-monk_x.htm,USA Today,"This is not a movie that sparks questions about the meaning of life. Well, maybe one: Dude, where's my Zen?",2003-04-16 00:00:00,11258,Bulletproof Monk
Peter Howell,rotten,0245803,http://www.thestar.com/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1035780944045&call_pageid=968867495754&col=969483191630,Toronto Star,"Bulletproof Monk is such an overcooked and odoriferous turkey, the Butterball people ought to sue for defamation of character.",2003-04-16 00:00:00,11258,Bulletproof Monk
Mick LaSalle,fresh,0245803,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/2003/09/12/DD226939.DTL,San Francisco Chronicle,Bulletproof Monk has more going for it than a promising title. It has a life and style that other buddy action movies lack.,2003-04-16 00:00:00,11258,Bulletproof Monk
James Berardinelli,rotten,0245803,http://www.reelviews.net/movies/b/bulletproof_monk.html,ReelViews,"Outside of the moments of kinetic madness that represent the action sequences, this movie is an amalgamation of lame comedy, campy Eastern mysticism, and dumb plotting.",2003-04-16 00:00:00,11258,Bulletproof Monk
Stephanie Zacharek,fresh,0430357,http://www.salon.com/ent/movies/review/2006/07/28/miami_vice,Salon.com,This somber action picture bravely defies expectations and gives us something wholly new.,2006-10-07 00:00:00,190816390,Miami Vice
Richard Roeper,fresh,0430357,http://tvplex.go.com/buenavista/ebertandroeper/mp3/060807-miami_vice.mp3,Ebert & Roeper,"Mann is the master of nighttime digital photography, and he fills the screen with stunning images and some intricately choreographed shoot-out scenes that I just loved.",2006-08-07 00:00:00,190816390,Miami Vice
Geoff Pevere,fresh,0430357,http://WWW.TheStar.COM/NASApp/cs/ContentServer?pagename=thestar/Layout/Article_Type1&c=Article&cid=1154599337157&call_pageid=1022183557980&col=1022183560753,Toronto Star,"Miami Vice isn't perfect, but it is perfectly mesmerizing.",2006-08-05 00:00:00,190816390,Miami Vice
Andrew Sarris,fresh,0430357,http://www.observer.com/node/39213,New York Observer,"I enjoyed Mr. Mann's new Miami Vice from its first ravishing frame to the last, but I can't say that very much of it made sense -- but then, neither do the daily headlines.",2006-08-03 00:00:00,190816390,Miami Vice
Geoff Andrew,fresh,0430357,http://www.timeout.com/film/83480.html,Time Out,It's business as usual for Mann. Truly terrific.,2006-08-03 00:00:00,190816390,Miami Vice
Mick LaSalle,rotten,0430357,http://sfgate.com/cgi-bin/article.cgi?f=/c/a/2006/07/28/DDG2PK62G21.DTL&type=movies,San Francisco Chronicle,The truest thing to say about Miami Vice is that it's an OK picture with some superb things in it.,2006-07-28 00:00:00,190816390,Miami Vice
Roger Moore,fresh,0430357,"http://www.orlandosentinel.com/entertainment/movies/orl-db-moviereviews-searchresults,0,3279701,results.formprofile?turbine_cdb_lib__cdb_01_txt=Miami%20Vice&Find+it%21=Submit+Query",Orlando Sentinel,It works as well as it ever did. It works because Mann makes it work.,2006-07-28 00:00:00,190816390,Miami Vice
Lisa Rose,rotten,0430357,http://www.nj.com/movies/ledger/index.ssf?/base/entertainment-0/115407058121410.xml&coll=1,Newark Star-Ledger,"It offers a good amount of crowd-pleasing action, but the story is convoluted and the heroes are scowling mannequins.",2006-07-28 00:00:00,190816390,Miami Vice
Jack Mathews,fresh,0430357,http://www.nydailynews.com/entertainment/movies/moviereviews/story/438724p-369495c.html,New York Daily News,"Miami Vice is the last of the predicted summer blockbusters, and it delivers a reasonable amount of popcorn excitement.",2006-07-28 00:00:00,190816390,Miami Vice
Rene Rodriguez,fresh,0430357,http://www.miami.com/mld/miamiherald/entertainment/movies/15133008.htm,Miami Herald,"This is more of a thinking man's action flick -- a small, intense film made on a giant canvas that finds Mann experimenting with and pushing at the boundaries of mainstream filmmaking.",2006-07-28 00:00:00,190816390,Miami Vice
Amy Biancolli,fresh,0430357,http://www.chron.com/disp/story.mpl/ent/movies/reviews/4039735.html,Houston Chronicle,"It might be an empty vessel, but it zooms.",2006-07-28 00:00:00,190816390,Miami Vice
Liam Lacey,fresh,0430357,http://www.theglobeandmail.com/servlet/story/RTGAM.20060728.wvice28/BNStory/Entertainment/home,Globe and Mail,"Sensual and scary, the movie is so visually textured you feel as though you're brushing against the screen.",2006-07-28 00:00:00,190816390,Miami Vice
Terry Lawson,rotten,0430357,http://www.freep.com/apps/pbcs.dll/article?AID=/20060728/ENT01/607280375/1036,Detroit Free Press,"Perhaps had they been given a script, a purpose or a mission, Miami Vice the movie might have been something worthy of the talented Mann's attention.",2006-07-28 00:00:00,190816390,Miami Vice
Lisa Kennedy,rotten,0430357,http://www.denverpost.com/movies/ci_4099546,Denver Post,"The film, like its oddly rumbling sky, promises more than it ever delivers. Granted, it can look cool. But more often, as we wait for the lightning that never arrives, it frustrates.",2006-07-28 00:00:00,190816390,Miami Vice
Derek Adams,rotten,0113253,http://www.timeout.com/film/reviews/71640/halloween-the_curse_of_michael_myers.html,Time Out,Slicker than crude oil and just as unattractive.,2006-06-24 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Daniel M. Kimmel,rotten,0113253,http://www.variety.com/review/VE1117910137.html?categoryid=31&cs=1,Variety,Run-of-the-mill horror item is notable only for final appearance of the late Donald Pleasance,2005-04-29 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Stephen Holden,rotten,0113253,http://movies.nytimes.com/movie/review?res=990CE5DA103AF933A0575AC0A963958260&partner=Rotten Tomatoes,New York Times,"Although the series has obviously run out of steam, the ending leaves the door open for Michael's return. Really, it's about time the masks were removed once and for and all.",2004-08-30 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Jack Mathews,rotten,0113253,http://www.calendarlive.com/movies/reviews/cl-movie960406-99.story,Los Angeles Times,"'Enough of this Michael Meyers B.S.!,' says a disgruntled Haddonfielder, as news spreads of the returning native son. Dream on.",2001-02-14 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
James Berardinelli,rotten,0113253,http://www.reelviews.net/php_review_template.php?identifier=708,ReelViews,"Needless to say, the gore level is high and the scare level low -- although not as low as the intelligence level.",2000-01-01 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Mick LaSalle,rotten,0113253,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1995/10/02/DD40921.DTL,San Francisco Chronicle,"This sixth installment, by far the worst in the series, is bland and deadening.",2000-01-01 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Richard Harrington,rotten,0113253,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/halloweencurseofmichaelmyersrharrington_c03028.htm,Washington Post,"Unfortunately, while director Joe Chapelle and writer Daniel Farrands took advantage of a clearance sale at the Horror Cliche Emporium, they forgot to stop in at Plots R Us.",2000-01-01 00:00:00,12962,Halloween - The Curse of Michael Myers (Halloween 6)
Todd McCarthy,rotten,0117991,http://www.variety.com/review/VE1117911117.html?categoryid=31&cs=1,Variety,"A handsome, agreeably performed rendition that fails to ignite much laughter or any real emotion.",2008-07-06 00:00:00,10087,Twelfth Night: Or What You Will
Geoff Andrew,fresh,0117991,http://www.timeout.com/film/reviews/79885/twelfth_night.html,Time Out,"The direction is assured, and the cast is masterly.",2006-02-09 00:00:00,10087,Twelfth Night: Or What You Will
Stephen Holden,fresh,0117991,http://movies.nytimes.com/movie/review?res=9E02EFDD1030F936A15753C1A960958260&partner=Rotten Tomatoes,New York Times,"A comic meditation on desire, disguise and inherent bisexuality.",2003-05-20 00:00:00,10087,Twelfth Night: Or What You Will
Rick Groen,fresh,0117991,http://www.globeandmail.com/servlet/ArticleNews/movie/MOVIEREVIEWS/19961025/TASHAK,Globe and Mail,"An entertaining movie. No more, no less.",2002-04-12 00:00:00,10087,Twelfth Night: Or What You Will
Kevin Thomas,rotten,0117991,"http://www.calendarlive.com/movies/reviews/cl-movie961028-76,0,1814139.story",Los Angeles Times,Only fitfully do the actors actually seem to become the characters they are playing.,2001-02-14 00:00:00,10087,Twelfth Night: Or What You Will
Desson Thomson,fresh,0117991,http://www.washingtonpost.com/wp-srv/style/longterm/movies/videos/twelfthnight.htm,Washington Post,"British director Nunn doesn't always take advantage of the play's comic possibilities. But he creates absorbing, original moments -- in the unlikeliest of places.",2000-01-01 00:00:00,10087,Twelfth Night: Or What You Will
Mick LaSalle,fresh,0117991,http://www.sfgate.com/cgi-bin/article.cgi?f=/c/a/1996/11/08/DD4762.DTL,San Francisco Chronicle,An innovative and imaginatively rendered version of Shakespeare's funniest play.,2000-01-01 00:00:00,10087,Twelfth Night: Or What You Will
Roger Ebert,fresh,0117991,http://www.rogerebert.com/reviews/twelfth-night-1996,Chicago Sun-Times,"Bonham Carter, who has grown wonderfully as an actress, walks the thin line between love and comedy...",2000-01-01 00:00:00,10087,Twelfth Night: Or What You Will
James Berardinelli,fresh,0117991,http://www.reelviews.net/movies/t/twelfth.html,ReelViews,"Shakespeare aficionados will probably be pleased that so much of the written word has made it to the screen, but the two-plus hour running length is a bit burdensome.",2000-01-01 00:00:00,10087,Twelfth Night: Or What You Will
Emanuel Levy,fresh,0111019,http://www.variety.com/review/VE1117908663.html?categoryid=31&cs=1,Variety,French helmer Andre Techine's most personal--and arguably best--film is one of the few foreign language pictures that was recognized by most critics groups in the U.S.,2006-12-20 00:00:00,20034,Wild Reeds (Les Roseaux Sauvages)
Roger Ebert,fresh,0111019,http://www.rogerebert.com/reviews/wild-reeds-1995,Chicago Sun-Times,"Some of the political undertones may go astray, but the emotional center of the film is touching and honest.",2000-01-01 00:00:00,20034,Wild Reeds (Les Roseaux Sauvages)
,fresh,0032904,"http://www.time.com/time/magazine/article/0,9171,772652,00.html",TIME Magazine,"In short, The Philadelphia Story lifts the daily drudge into a charming never-never land, with complete footnotes excusing its existence. And besides, it's a good, entertaining show.",2009-04-23 00:00:00,22180,The Philadelphia Story
Mark Bourne,fresh,0032904,http://www.film.com/dvds/story/digitalvalentinesdayfavoritespart2thephiladelphiastory/18395267,Film.com,"Every time Katharine Hepburn, Cary Grant, and Jimmy Stewart connect in a scene, we hear the happy ding! of quality champagne crystal.",2008-03-04 00:00:00,22180,The Philadelphia Story
Herb Golden,fresh,0032904,http://www.variety.com/review/VE1117793988.html?categoryid=31&cs=1,Variety,The smarties are going to relish Philadelphia Story a lot more than the two-bit trade...,2007-07-02 00:00:00,22180,The Philadelphia Story
Dave Kehr,fresh,0032904,http://onfilm.chicagoreader.com/movies/capsules/7085_PHILADELPHIA_STORY,Chicago Reader,George Cukor gives it the royal treatment with a splendid supporting cast...,2007-07-02 00:00:00,22180,The Philadelphia Story
Geoff Andrew,fresh,0032904,http://www.timeout.com/film/reviews/71063/the_philadelphia_story.html,Time Out,"Cukor and Donald Ogden Stewart's evergreen version of Philip Barry's romantic farce, centreing on a socialite wedding threatened by scandal, is a delight from start to finish, with everyone involved working on peak form.",2006-02-09 00:00:00,22180,The Philadelphia Story
Bosley Crowther,fresh,0032904,http://movies.nytimes.com/movie/review?res=9F04E0D71F3CE73ABC4F51DFB467838B659EDE&partner=Rotten Tomatoes,New York Times,"It has been a long time since Hollywood has spent itself so extravagantly, and to such entertaining effect, upon a straight upper-crust fable, an unblushing apologia for plutocracy.",2003-05-20 00:00:00,22180,The Philadelphia Story
Mark Bourne,fresh,0045152,http://www.film.com/dvds/story/digitalvalentinesdayfavoritespart3singinintherain/18413799,Film.com,"...this one's the Taj Mahal, Armstrong's footprint on the moon, the 2001 Arizona-New York World Series, the Clash's London Calling, and the perfect foamy head on an expertly poured Guinness.",2008-03-04 00:00:00,9924,Singin' in the Rain
Dave Kehr,fresh,0045152,http://onfilm.chicagoreader.com/movies/capsules/11142_SINGIN_IN_THE_RAIN_SINGING_IN_THE_RAIN,Chicago Reader,One of the shining glories of the American musical.,2007-06-26 00:00:00,9924,Singin' in the Rain
Variety Staff,fresh,0045152,http://www.variety.com/review/VE1117794912.html?categoryid=31&cs=1,Variety,A fancy package of musical entertainment with wide appeal and bright grossing prospects.,2007-06-26 00:00:00,9924,Singin' in the Rain
Stephen Garrett,fresh,0045152,http://www.timeout.com/film/reviews/74708/singin_in_the_rain.html,Time Out,"If you've never seen it and don't, you're bonkers.",2006-06-24 00:00:00,9924,Singin' in the Rain
James Berardinelli,fresh,0045152,http://www.reelviews.net/php_review_template.php?identifier=837,ReelViews,"Watching Singin' in the Rain is an exuberant, magical experience -- a journey deep into the heart of feel-good territory.",2003-03-06 00:00:00,9924,Singin' in the Rain
